data,saldo
2026-05-25 11:56:46.775440,100000.0
2026-05-25 11:57:50.255280,100000.0
2026-05-25 11:59:08.218502,100000.0
2026-05-25 11:59:38.996515,100000.0
2026-05-25 12:00:13.144451,100000.0
2026-05-25 12:01:18.862912,100000.0
2026-05-25 12:03:10.401879,100000.0
2026-05-25 12:04:55.059239,100000.0
2026-05-25 12:06:08.710231,100000.0
2026-05-25 12:08:51.187852,100000.0
2026-05-25 12:34:17.584658,100000.0
2026-05-25 12:37:35.696867,100000.0
2026-05-25 12:39:31.005646,100000.0
2026-05-25 12:42:31.466733,100000.0
2026-05-25 12:43:37.540613,100000.0
2026-05-25 12:45:29.286096,100000.0
2026-05-25 12:47:08.753546,100000.0
2026-05-25 12:48:51.793879,100000.0
2026-05-25 12:50:36.250808,100000.0
2026-05-25 12:52:16.627893,100000.0
2026-05-25 12:53:54.258197,100000.0
2026-05-25 12:57:15.843602,100000.0
2026-05-25 12:58:12.877639,100000.0
2026-05-25 12:58:43.734852,100000.0
2026-05-25 13:00:35.031434,100000.0
2026-05-25 13:02:16.127415,100000.0
2026-05-25 13:03:55.783781,100000.0
2026-05-25 13:05:37.221873,100000.0
2026-05-25 13:07:15.915581,100000.0
2026-05-25 13:08:54.386355,100000.0
2026-05-25 13:10:35.205212,100000.0
2026-05-25 13:12:14.653729,100000.0
2026-05-25 13:13:55.281212,100000.0
2026-05-25 13:15:35.347813,100000.0
2026-05-25 13:17:16.559529,100000.0
2026-05-25 13:18:55.084740,100000.0
2026-05-25 13:20:36.091788,100000.0
2026-05-25 13:22:14.946655,100000.0
2026-05-25 13:23:55.219582,100000.0
2026-05-25 13:25:34.955035,100000.0
2026-05-25 13:27:16.225308,100000.0
2026-05-25 13:28:55.644527,100000.0
2026-05-25 13:30:35.378737,100000.0
2026-05-25 13:32:14.922147,100000.0
2026-05-25 13:34:01.896335,100000.0
2026-05-25 13:35:37.336975,100000.0
2026-05-25 13:37:17.647551,100000.0
